,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
159,3.3,3.6,2.8,2.9,2.6,2.5,2.6,2.5,2.5,2.5,2.3,2.4,2.4,2.64,3.4,3.6,3.8,3.5
160,4.6,4.2,4.1,4.1,4.0,3.6,3.5,3.4,3.7,4.2,4.6,5.0,5.3,5.48,5.8,6.0,6.1,6.2
161,6.5,6.7,6.4,6.3,6.3,6.6,6.3,6.5,6.6,6.5,6.1,5.8,6.0,6.1,6.3,6.2,6.3,6.3
162,,,,,,,,,,,5.8,5.8,5.8,5.59,6.3,6.2,6.3,
163,,,,,,5.6,5.2,5.9,6.0,6.0,6.5,7.0,7.7,7.16,6.8,6.8,6.9,7.1
164,3.0,3.3,2.9,2.8,2.6,2.8,2.9,3.0,3.1,3.7,3.8,3.8,3.7,3.61,4.4,4.3,4.3,4.6
165,2.4,2.4,2.1,2.3,2.7,2.7,2.8,2.4,2.5,2.3,2.1,2.2,2.1,2.45,2.8,2.8,2.7,2.9
166,,,,,,,,3.1,2.5,2.8,3.0,3.3,4.0,4.98,5.3,5.3,4.9,5.4
167,,,,,,,,,,6.8,7.1,7.0,,7.02,7.1,7.1,,
168,,,,,,,,,,6.1,6.5,6.4,,5.76,6.2,6.2,6.7,
169,,,,,,,,,,4.5,4.4,4.5,4.1,3.88,,,5.2,
170,,,,,,,,,,2.7,2.7,2.8,3.0,,4.2,4.2,4.2,4.2
171,,,,,,,,,,,,,,2.99,,,,
172,,,,,,4.5,3.4,3.4,3.3,3.4,3.5,4.3,4.7,4.39,4.4,4.6,4.9,5.2
173,3.3,3.4,3.5,2.9,3.1,3.2,3.0,3.2,3.3,3.6,3.4,3.0,2.9,2.87,3.6,4.1,4.3,4.4
174,,,,,,,,,3.0,3.4,3.4,3.5,3.5,3.31,3.9,4.2,4.1,4.0
175,,,,,,,2.7,2.8,,,,,,,,,,
176,,,,,,2.3,,,,,,,,,,,,
177,,,,,,,4.4,4.0,3.6,4.5,4.8,4.8,4.8,4.82,5.2,5.4,5.5,5.5
178,,,,,,2.2,2.3,2.4,2.2,2.1,1.9,2.2,2.4,2.46,3.1,3.0,3.1,2.9
179,9.1,9.1,9.1,9.2,9.3,9.4,9.3,9.4,9.4,9.3,9.2,9.2,9.3,9.17,8.7,8.6,8.4,8.5
180,,,,,,3.7,4.0,4.3,4.7,4.9,5.0,4.5,4.3,3.97,4.6,4.7,5.0,5.1
181,3.9,3.7,3.5,3.7,3.7,,,,,,,,,,,,,
182,,6.0,5.5,5.2,6.0,5.9,6.0,6.1,6.4,6.6,6.7,6.6,6.4,5.87,6.1,5.7,5.8,6.0
183,,,,,,,,,,2.8,2.9,2.8,2.8,2.71,,,,
184,,,,,,,,2.1,,1.4,1.0,1.1,1.1,0.98,0.8,0.8,0.8,0.8
185,5.2,5.0,5.0,4.8,4.8,4.4,4.6,4.5,4.6,5.1,4.9,4.7,4.5,4.08,4.3,4.2,4.4,4.4
186,4.2,3.8,4.0,4.2,4.5,4.3,4.5,5.0,5.1,5.1,5.6,,,,,,,
187,,,,,,,,,,,,,,,,1.4,1.5,1.5
188,6.1,6.6,7.0,7.0,7.1,6.9,7.1,7.0,6.8,6.7,6.5,6.1,6.1,6.23,6.5,5.9,6.0,5.8
189,,,,,3.7,3.4,3.5,3.2,3.1,3.2,3.2,3.1,3.2,3.3,4.0,3.7,3.8,3.7
190,,,,,,2.3,2.2,2.1,2.0,1.8,1.6,1.5,1.6,1.56,1.3,1.1,1.1,1.2
